2018-07-19 00:07:40.746850,rrcConnectionRelease
2018-07-19 00:07:46.628945,rrcConnectionRequest
2018-07-19 00:07:46.700854,rrcConnectionSetupComplete
2018-07-19 00:09:48.416818,rrcConnectionRelease
2018-07-19 00:09:49.276820,rrcConnectionRequest
2018-07-19 00:09:49.337896,rrcConnectionSetupComplete
2018-07-19 00:10:40.400794,rrcConnectionRelease
2018-07-19 00:10:45.599112,rrcConnectionRequest
2018-07-19 00:10:45.670874,rrcConnectionSetupComplete
2018-07-19 00:12:49.426819,rrcConnectionRelease
2018-07-19 00:12:50.219345,rrcConnectionRequest
2018-07-19 00:12:50.290024,rrcConnectionSetupComplete
2018-07-19 00:13:43.015044,rrcConnectionRelease
2018-07-19 00:13:43.419353,rrcConnectionRequest
2018-07-19 00:13:43.490072,rrcConnectionSetupComplete
2018-07-19 00:14:08.022877,rrcConnectionRelease
2018-07-19 00:14:52.635008,rrcConnectionRequest
2018-07-19 00:14:52.709121,rrcConnectionSetupComplete
2018-07-19 00:15:03.255752,rrcConnectionRelease
2018-07-19 00:15:03.320763,rrcConnectionRequest
2018-07-19 00:15:03.396816,rrcConnectionSetupComplete
2018-07-19 00:15:14.420023,rrcConnectionRelease
2018-07-19 00:15:32.315006,rrcConnectionRequest
2018-07-19 00:15:32.389073,rrcConnectionSetupComplete
2018-07-19 00:15:43.017952,rrcConnectionRelease
2018-07-19 00:15:51.517880,rrcConnectionRequest
2018-07-19 00:15:51.587915,rrcConnectionSetupComplete
2018-07-19 00:16:08.275017,rrcConnectionRelease
2018-07-19 00:16:14.207947,rrcConnectionRequest
2018-07-19 00:16:14.280013,rrcConnectionSetupComplete
2018-07-19 00:17:08.157887,rrcConnectionRelease
2018-07-19 00:17:15.995004,rrcConnectionRequest
2018-07-19 00:17:16.075008,rrcConnectionSetupComplete
2018-07-19 00:17:26.508960,rrcConnectionRelease
2018-07-19 00:17:28.434217,rrcConnectionRequest
2018-07-19 00:17:28.507907,rrcConnectionSetupComplete
2018-07-19 00:17:38.955761,rrcConnectionRelease
2018-07-19 00:18:04.635002,rrcConnectionRequest
2018-07-19 00:18:04.707887,rrcConnectionSetupComplete
2018-07-19 00:18:15.237892,rrcConnectionRelease
2018-07-19 00:19:51.070125,rrcConnectionRequest
2018-07-19 00:19:51.136818,rrcConnectionSetupComplete
2018-07-19 00:20:02.005289,rrcConnectionRelease
2018-07-19 00:22:07.833984,rrcConnectionRequest
2018-07-19 00:22:07.908096,rrcConnectionSetupComplete
2018-07-19 00:22:18.485757,rrcConnectionRelease
2018-07-19 00:22:28.658969,rrcConnectionRequest
2018-07-19 00:22:28.729015,rrcConnectionSetupComplete
2018-07-19 00:22:40.068995,rrcConnectionRelease
2018-07-19 00:22:46.340762,rrcConnectionRequest
2018-07-19 00:22:46.406815,rrcConnectionSetupComplete
2018-07-19 00:23:19.890128,rrcConnectionRelease
2018-07-19 00:23:21.023134,rrcConnectionRequest
2018-07-19 00:23:21.090023,rrcConnectionSetupComplete
